smiles,pACT
C=CC1(C)CC(OC(=O)CSc2nc3c(C(=O)OC)cccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3cc4ccccc4cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2nc3cc(F)c(F)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3c(F)cc(F)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3cc(Cl)c(Cl)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3cc(F)c(Cl)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3cc(C)c(Cl)cc3[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C(C)NC(=O)OC(C)(C)C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C(CSC)NC(=O)OC(C)(C)C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C(Cc3ccc(O)cc3)NC(=O)OC(C)(C)C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C(N)Cc3ccc(O)cc3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C3CCCN3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CN(C)C)C2(C)C(C)CCC3([CH]C1O)CCC(=O)C32,0.5
C=CC1(C)CC(OC(=O)CN2CCC(O)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CN2CCCC(CO)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CN2CCOCC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)C[N+](C)(C)C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.125
C=CC1(C)CC(OC(=O)C[N+]2(C)CCCC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.25
C=CC1(C)CC(OC(=O)C[N+]2(C)CCC(O)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.125
C=CC1(C)CC(OC(=O)C[N+]2(C)CCCC(CO)C2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],1
C=CC1(C)CC(OC(=O)C[n+]2ccc(N(C)C)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.25
C=CC1(C)CC(OC(=O)C[n+]2cccc3c2CCC3)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O.[I-],0.5
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccccc3F)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccccc3OC)CC2)C2(C)C(C)CCC3([CH]C1O)CCC(=O)C32,0.125
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccc([N+](=O)[O-])cc3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccc(C(F)(F)F)cc3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CN2CCN(C(=O)C=Cc3ccc(O)cc3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCCC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2nc(N)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCCCC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCC(N(C)C)CC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCC(c4ccccc4)CC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCC(O)CC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCC(CO)CC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCC(N4CCCCC4)CC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCOCC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCN(C)CC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN3CCN(c4ccccc4)CC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CNC3CC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CNC3CCCCC3)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2nc(NC(=O)CN(CC)CC)c3cc[nH]c3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSCCN)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSCCNC(=O)c2ccc(F)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSCCNC(=O)c2ccc(C)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSCCNC(=O)c2ccc(OC)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSC(C)(C)CNC(=O)C(N)C(C)C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)c2cccc(F)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)c2ccccc2C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)c2ccccc2OC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2ccccc2N)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0156
C=CC1(C)CC(OC(=O)CNC(=S)NC2CCCCC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CNC(=S)Nc2ccccc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CNC(=S)Nc2ccc(F)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CNC(=S)Nc2ccc(OC)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CNC(=S)Nc2ccc(C(F)(F)F)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CNC(=O)Nc2ccccc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CNC(=O)Nc2ccc(Cl)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CNC(=O)Nc2ccc(F)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CNC(=O)Nc2cccc(Br)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CNC(=O)Nc2ccc(OC)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CNC(=O)Nc2cccc(C)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CNC(=O)Nc2cc(Cl)cc(Cl)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CNC(=O)Nc2ccc(F)cc2F)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CNC(=O)CN2CCN(c3ccccc3[N+](=O)[O-])CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2nc3ccccc3c(=O)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3c(F)cccc3c(=O)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.063
C=CC1(C)CC(OC(=O)CSc2nc3c(Cl)cccc3c(=O)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3ccc(Br)cc3c(=O)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3c(C)cccc3c(=O)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3ccc(OC)cc3c(=O)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3cccc([N+](=O)[O-])c3c(=O)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3ccccc3c(=O)n2C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.063
C=CC1(C)CC(OC(=O)CSc2nc3ccccc3c(=O)n2CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc3[nH]ccc3c(=O)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.063
C=CC1(C)CC(OC(=O)CSc2nc3sccc3c(=O)[nH]2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc3c(c(=O)[nH]2)CCC3)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CN2CCN(c3nc4ccccc4c(=O)[nH]3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CN2CCN(Cc3nc4ccccc4c(=O)[nH]3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN(C)C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN(C)CCC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CCN(C)CC(=O)Nc1ccccc1SCC(=O)OC1CC(C)(C=C)C(O)C(C)C23CCC(=O)C2C1(C)C(C)CC3,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN(C)CCO)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN(C)C(C)C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CCC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Cn2cccc2C#N)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Cn2cccc2C=O)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CCC(N3CCCCC3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CCC(CCO)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Cn2ccnc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Cn2cncc2C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Cn2ccnc2C=O)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Cn2cnc(C#N)c2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)Cn2cnc3ccccc32)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CCC(C)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSc2ccccc2NC(=O)CN2CCN(c3ncccn3)CC2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2nc(N3CCN(CC)CC3)c3ccsc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0019
C=CC1(C)CC(OC(=O)CSc2nc(N3CCN(C)CC3)c3ccsc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0019
C=CC1(C)CC(OC(=O)CSc2nc(N3CCNCC3)c3ccsc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0076
C=CC1(C)CC(OC(=O)CSc2nc(N3CCOCC3)c3ccsc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.1221
C=CC1(C)CC(OC(=O)CSc2nc(N3CCC(N(C)C)CC3)c3ccsc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.2441
C=CC1(C)CC(OC(=O)CSc2nc(NCCO)c3ccsc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0019
C=CC1(C)CC(OC(=O)CSc2nc(N3CCCN(C)CC3)c3ccsc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.1221
C=CC1(C)CC(OC(=O)CSc2nc(NN=Cc3cccs3)c3ccsc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.9766
C=CC1(C)CC(OC(=O)CSc2nc(NN=Cc3ccccc3OC)c3ccsc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.9766
C=CC1(C)CC(OC(=O)CSc2nc(N3CCN(CC)CC3)c3ccccc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.4883
C=CC1(C)CC(OC(=O)CSc2nc(NCCO)c3ccccc3n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0153
C=CC1(C)CC(OC(=O)CSc2nc(N3CCN(CC)CC3)cc(C(F)(F)F)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.4883
C=CC1(C)CC(OC(=O)CSc2nc(NCCO)cc(C(F)(F)F)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.4883
C=CC1(C)CC(OC(=O)CSc2nccc(NCCO)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.1221
C=CC1(C)CC(OC(=O)CSc2nccc(N3CCN(CC)CC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.1221
C=CC1(C)CC(OC(=O)CSc2ncc(C)c(N3CCN(CC)CC3)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.2441
C=CC1(C)CC(OC(=O)CSc2ncc(C)c(NCCO)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.2441
C=CC1(C)CC(OC(=O)CSc2nc3c(c(NCCO)n2)C=CC3)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.1221
C=CC1(C)CC(OC(=O)CSc2nc3c(c(N4CCN(CC)CC4)n2)C=CC3)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.2441
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)C=Cc3ccccc3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3cccs3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.015
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3ccc(Cl)s3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3ccco3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.015
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)C3CCC3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.03
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3cccc(C(F)(F)F)c3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3ccccc3[N+](=O)[O-])cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.015
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3ccccc3F)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.015
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3ccccc3Cl)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3ccc(C#N)cc3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.015
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.03
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3cc(F)cc(F)c3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.03
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3ccc(F)cc3Cl)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0625
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3c(F)c(F)c(F)c(F)c3F)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.125
C=CC1(C)CC(OC(=O)CSc2ccc(NC(=O)c3cc(Cl)cc(Cl)c3)cc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSC2=NC(C)=C(C(=O)OC)C(C)N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc(C)c(C(=O)OC)c(C)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0156
C=CC1(C)CC(OC(=O)CSc2nc(C)c(C(=O)OC)c(CC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.0313
C=CC1(C)CC(OC(=O)CSC2=NC(CC)=C(C(=O)OC)C(C)N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
C=CC1(C)CC(OC(=O)CSC2=NC(CCCC)=C(C(=O)OC)C(C)N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSC2=NC(CC(C)C)=C(C(=O)OC)C(C)N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
C=CC1(C)CC(OC(=O)CSc2nc(C)c(C(=O)OC)c(CC(C)C)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSc2nc(C)c(C(=O)OC)c(C(CC)CC)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.25
C=CC1(C)CC(OC(=O)CSC2=NC(C(CC)CC)=C(C(=O)OC)C(C)N2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.5
